effective_kv_len,batch,num_heads,num_kv_heads,backend,runs,mean_of_medians_us,stdev_of_medians_us,run_cv_pct,min_median_us,max_median_us,paired_cutlass_vs_triton_mean_pct,paired_cutlass_vs_triton_stdev_pct
128,8,64,4,cutlass,10,24.003200139850378,0.029328463892087788,0.12218564075294422,23.96799996495247,24.07999988645315,20.691934785747573,0.14127391683942878
128,8,64,4,triton,10,19.888000562787056,0.02146641603863596,0.10793652167730887,19.840000197291374,19.90400068461895,20.691934785747573,0.14127391683942878
128,16,64,4,cutlass,10,26.019200682640076,0.02240017056465149,0.08609092507440787,25.98400041460991,26.048000901937485,9.06405453727654,0.6684101986126292
128,16,64,4,triton,10,23.85759986937046,0.13007300001009625,0.5452057236364763,23.520000278949738,23.96799996495247,9.06405453727654,0.6684101986126292
128,32,16,1,cutlass,10,23.977600038051605,0.020490153580735686,0.08545539815585604,23.93599972128868,24.000000208616257,20.390003806270165,0.3915124810496164
128,32,16,1,triton,10,19.91680059581995,0.06270688260185056,0.31484415531584525,19.872000440955162,20.096000283956528,20.390003806270165,0.3915124810496164
128,64,16,1,cutlass,10,26.022400707006454,0.019200146198272705,0.07378314712179158,25.98400041460991,26.048000901937485,30.88696917235284,0.11555957528408532
128,64,16,1,triton,10,19.8816005140543,0.024992989270403297,0.12570914123707375,19.840000197291374,19.90400068461895,30.88696917235284,0.11555957528408532
512,8,64,4,cutlass,10,28.07679958641529,0.01567685372420214,0.05583561501000722,28.063999488949776,28.095999732613564,-12.739927526586792,0.02834662924210487
512,8,64,4,triton,10,32.175999134778976,0.01600012183189392,0.04972688420605848,32.15999901294708,32.19199925661087,-12.739927526586792,0.02834662924210487
512,16,64,4,cutlass,10,28.08319963514805,0.01567685372420214,0.05582289029694993,28.063999488949776,28.095999732613564,-39.62991359292231,0.021663576071957548
512,16,64,4,triton,10,46.51840031147003,0.014664353884633878,0.03152377077983503,46.49600014090538,46.52800038456917,-39.62991359292231,0.021663576071957548
512,32,16,1,cutlass,10,28.05439941585064,0.014664353884633878,0.052271138181445326,28.031999245285988,28.063999488949776,7.8352083638514785,0.06070493192417248
512,32,16,1,triton,10,26.016000658273697,0.020238731131588205,0.07779339875267037,25.98400041460991,26.048000901937485,7.8352083638514785,0.06070493192417248
512,64,16,1,cutlass,10,28.07999961078167,0.02146641603863596,0.07644735162458356,28.031999245285988,28.095999732613564,-22.598580146893497,0.03833384049135584
512,64,16,1,triton,10,36.27840057015419,0.014664353884633878,0.04042172106313328,36.25600039958954,36.288000643253326,-22.598580146893497,0.03833384049135584
1024,8,64,4,cutlass,10,32.153598964214325,0.027897165659825793,0.0867621869977113,32.09599852561951,32.19199925661087,0.0,0.0
1024,8,64,4,triton,10,32.153598964214325,0.027897165659825793,0.0867621869977113,32.09599852561951,32.19199925661087,0.0,0.0
1024,16,64,4,cutlass,10,32.91039951145649,0.7483639681472604,2.273943735890372,32.19199925661087,34.07999873161316,-31.876642743592,1.4212957758284956
1024,16,64,4,triton,10,48.30880016088486,0.2636892188963248,0.545840960690701,47.568000853061676,48.51200059056282,-31.876642743592,1.4212957758284956
1024,32,16,1,cutlass,10,32.16959908604622,0.020490153580735686,0.06369415274939945,32.127998769283295,32.19199925661087,23.62277145079299,0.08019454331833652
1024,32,16,1,triton,10,26.022400707006454,0.023946789616635558,0.09202375248255998,25.98400041460991,26.048000901937485,23.62277145079299,0.08019454331833652
1024,64,16,1,cutlass,10,32.182399183511734,0.014664353884633878,0.04556637869356547,32.15999901294708,32.19199925661087,-11.274810464620858,0.03309648200445706
1024,64,16,1,triton,10,36.27200052142143,0.01600012183189392,0.0441114953735309,36.25600039958954,36.288000643253326,-11.274810464620858,0.03309648200445706
2048,8,64,4,cutlass,10,32.175999134778976,0.01600012183189392,0.04972688420605848,32.15999901294708,32.19199925661087,-0.00994043377322007,0.02982130131966021
2048,8,64,4,triton,10,32.179199159145355,0.01567685372420214,0.04871735199707966,32.15999901294708,32.19199925661087,-0.00994043377322007,0.02982130131966021
2048,16,64,4,cutlass,10,32.16959908604622,0.024992989270403297,0.07769132964185486,32.127998769283295,32.19199925661087,-33.73105559430017,0.030275114820769514
2048,16,64,4,triton,10,48.54400083422661,0.024787282156885946,0.051061473572259285,48.51200059056282,48.576001077890396,-33.73105559430017,0.030275114820769514
2048,32,16,1,cutlass,10,32.16959908604622,0.024992989270403297,0.07769132964185486,32.127998769283295,32.19199925661087,-0.00994043377322007,0.02982130131966021
2048,32,16,1,triton,10,32.1727991104126,0.025600194931030273,0.07957092835837486,32.127998769283295,32.19199925661087,-0.00994043377322007,0.02982130131966021
2048,64,16,1,cutlass,10,32.16799907386303,0.012899710621290755,0.04010106625429481,32.15999901294708,32.19199925661087,-33.743080793163216,0.015533617942893718
2048,64,16,1,triton,10,48.550400882959366,0.019200146198272705,0.039546833494863556,48.51200059056282,48.576001077890396,-33.743080793163216,0.015533617942893718
